,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
135,Rio Grande,BR,-32.035,-52.0986,71.06,75,0,11.52,clear sky
136,Umm Kaddadah,SD,13.6017,26.6876,59.81,24,0,14.25,clear sky
137,Hamilton,US,39.1834,-84.5333,36.0,59,0,8.05,clear sky
138,Pouembout,NC,-21.1333,164.9,82.74,67,97,8.37,overcast clouds
139,Kavieng,PG,-2.5744,150.7967,83.5,73,40,6.93,light rain
140,Dalian,CN,38.9122,121.6022,17.53,38,0,4.47,clear sky
141,Parabel,RU,58.6978,81.4825,13.68,93,100,13.89,light snow
142,Deputatskiy,RU,69.3,139.9,-34.71,100,90,0.31,overcast clouds
143,Hithadhoo,MV,-0.6,73.0833,80.17,63,58,6.76,broken clouds
144,Baghmara,IN,23.795,86.2085,54.81,46,0,3.87,clear sky
145,San Cristobal,VE,7.7669,-72.225,69.98,96,69,2.3,broken clouds
146,Pedasi,PA,7.5333,-80.0333,78.28,79,10,21.83,clear sky
147,Atar,MR,20.5169,-13.0499,67.19,19,2,10.11,clear sky
148,Nautla,MX,20.2167,-96.7833,69.26,74,0,15.9,clear sky
149,Kalmunai,LK,7.4167,81.8167,75.27,87,63,5.12,broken clouds
150,Hilo,US,19.7297,-155.09,78.53,76,40,13.8,scattered clouds
151,San Lorenzo,PY,-25.3333,-57.5333,77.94,57,0,3.44,clear sky
152,Mahebourg,MU,-20.4081,57.7,79.09,78,40,12.66,scattered clouds
153,Kodiak,US,57.79,-152.4072,36.91,87,100,8.05,light rain
154,Tessalit,ML,20.1986,1.0114,62.4,21,0,11.36,clear sky
155,Viedma,AR,-40.8135,-62.9967,59.72,66,7,12.28,clear sky
156,Shimoda,JP,34.6667,138.95,52.16,71,100,16.93,light rain
157,Chuy,UY,-33.6971,-53.4616,66.09,80,0,6.38,clear sky
158,Aguas Vermelhas,BR,-15.7472,-41.46,62.71,98,7,3.0,clear sky
159,Cherskiy,RU,68.75,161.3,-41.91,99,50,4.56,scattered clouds
160,Arica,CL,-18.475,-70.3042,71.15,68,0,2.3,clear sky
161,Maple Creek,CA,49.9168,-109.4848,26.65,93,100,5.75,overcast clouds
162,Dongsheng,CN,39.8161,109.9776,9.81,48,0,17.09,clear sky
163,Hambantota,LK,6.1241,81.1185,73.74,100,75,2.3,broken clouds
164,Lashio,MM,22.9333,97.75,56.01,50,0,0.74,clear sky
165,Ust-Omchug,RU,61.15,149.6333,-23.4,94,100,6.69,overcast clouds
166,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,67,0,13.8,clear sky
167,Japura,ID,-0.3167,102.35,80.76,76,94,4.25,overcast clouds
168,Kaitangata,NZ,-46.2817,169.8464,72.12,56,25,6.35,scattered clouds
169,Torbay,CA,47.6666,-52.7314,33.39,95,100,18.41,mist
170,Okha,RU,53.5739,142.9478,-17.03,86,16,7.85,few clouds
171,Evensk,RU,61.95,159.2333,2.32,77,100,8.88,overcast clouds
172,Valreas,FR,44.3837,4.9908,35.67,72,6,3.87,clear sky
173,Vieste,IT,41.8825,16.175,53.31,75,88,12.97,overcast clouds
174,Longonjo,AO,-12.9067,15.2533,60.35,97,100,3.02,overcast clouds
175,Luderitz,NA,-26.6481,15.1594,68.49,69,100,9.66,overcast clouds
176,Kindu,CD,-2.95,25.95,67.23,96,100,1.63,overcast clouds
177,Riyadh,SA,24.6877,46.7219,55.54,70,86,7.78,overcast clouds
178,Svetlogorsk,BY,52.6333,29.7333,32.16,90,100,14.56,overcast clouds
179,Geraldton,AU,-28.7667,114.6,73.81,56,100,25.32,overcast clouds
180,Semey,KZ,50.4111,80.2275,12.42,73,100,15.66,overcast clouds
181,Isangel,VU,-19.55,169.2667,86.11,70,70,4.61,broken clouds
182,Glendive,US,47.1053,-104.7125,29.82,97,100,10.36,fog
183,Codrington,AU,-38.2667,141.9667,73.47,38,0,12.97,clear sky
184,Anloga,GH,5.7947,0.8973,79.7,80,20,3.69,few clouds
185,Te Anau,NZ,-45.4167,167.7167,73.99,44,18,8.84,few clouds
186,Bonavista,CA,48.6499,-53.1147,32.04,90,100,19.17,light snow
187,Guiglo,CI,6.5456,-7.4966,67.95,81,0,2.75,clear sky
188,Cockburn Town,TC,21.4612,-71.1419,71.56,53,40,11.5,scattered clouds
189,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.47,86,85,18.48,overcast clouds
190,Jiazi,CN,22.8779,116.067,52.93,63,97,12.5,overcast clouds
191,Port-Gentil,GA,-0.7193,8.7815,79.54,77,100,3.67,overcast clouds
192,Bathsheba,BB,13.2167,-59.5167,77.61,83,40,9.22,scattered clouds
193,Gaogou,CN,34.0175,119.1886,29.73,28,1,6.71,clear sky
194,Saint-Denis,FR,48.9167,2.3333,45.37,84,100,23.02,light rain
195,Safaga,EG,26.7292,33.9365,60.71,42,64,5.48,broken clouds
196,Outlook,CA,51.5001,-107.0513,6.06,100,81,1.95,broken clouds
197,Pribinic,BA,44.6106,17.6906,37.81,80,100,4.85,overcast clouds
198,Vostok,RU,46.4856,135.8833,-5.22,78,6,3.42,clear sky
199,Ca Mau,VN,9.1769,105.15,81.59,69,35,4.09,scattered clouds
200,Vitry-Le-Francois,FR,48.7333,4.5833,43.21,90,100,20.11,overcast clouds
201,Provideniya,RU,64.3833,-173.3,10.51,61,0,29.08,clear sky
202,Nacogdoches,US,31.6002,-94.6335,62.46,82,75,12.66,broken clouds
203,Nantucket,US,41.2835,-70.0995,39.15,93,100,35.68,mist
204,Taoudenni,ML,22.6783,-3.9836,62.22,26,0,13.18,clear sky
205,Berlevag,NO,70.8578,29.0864,30.15,80,40,12.66,light snow
206,Auki,SB,-8.7676,160.7034,85.26,64,99,3.65,overcast clouds
207,Basi,IN,26.8333,76.0333,43.14,35,0,3.27,clear sky
208,Kharan,PK,28.5833,65.4167,35.82,35,0,4.5,clear sky
209,Quang Ngai,VN,15.1167,108.8,73.58,84,79,7.94,broken clouds
210,Surt,LY,31.2089,16.5887,61.29,65,64,11.43,broken clouds
211,Mudu,CN,31.252,120.5118,33.3,31,0,10.02,clear sky
212,San Pedro,PH,14.35,121.0167,78.26,88,100,5.75,light rain
213,Trinidad,BO,-14.8333,-64.9,73.29,97,99,3.02,overcast clouds
214,Lebu,CL,-37.6167,-73.65,55.8,84,100,19.35,overcast clouds
215,Aden,YE,12.7794,45.0367,76.44,69,67,13.15,broken clouds
216,Najran,SA,17.4924,44.1277,59.65,50,5,0.76,clear sky
217,Charters Towers,AU,-20.1,146.2667,74.86,83,100,3.44,overcast clouds
218,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,100,8.05,overcast clouds
219,Faya,SA,18.3851,42.4509,48.31,73,11,1.7,few clouds
220,Ucluelet,CA,48.9329,-125.5528,48.09,91,100,5.99,overcast clouds
221,College,US,64.8569,-147.8028,6.75,78,75,3.44,broken clouds
222,Linqiong,CN,30.4159,103.4609,35.42,74,85,3.98,overcast clouds
223,Pau,FR,43.4167,-0.5833,48.85,49,0,16.11,light rain
224,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.24,78,0,6.42,clear sky
225,Aklavik,CA,68.2191,-135.0107,-16.64,97,100,3.29,overcast clouds
226,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,40,12.66,light rain
227,Almirante,PA,9.3,-82.4,73.81,87,33,3.27,scattered clouds
228,Ola,RU,59.5833,151.2833,-8.86,95,100,7.27,overcast clouds
229,Magrath,CA,49.4167,-112.8686,35.92,100,100,3.44,overcast clouds
230,Port Alfred,ZA,-33.5906,26.891,69.19,92,100,16.96,overcast clouds
231,Buchanan,LR,5.8808,-10.0467,77.56,85,0,1.28,clear sky
232,Laguna,US,38.421,-121.4238,53.06,86,100,11.5,overcast clouds
233,Mount Barker,AU,-35.0667,138.8667,88.88,33,31,5.93,scattered clouds
234,Qaqortoq,GL,60.7167,-46.0333,15.17,68,58,33.69,broken clouds
235,Bauru,BR,-22.3147,-49.0606,85.14,65,0,1.14,clear sky
236,Buala,SB,-8.145,159.5921,85.5,67,72,3.83,broken clouds
237,Bouake,CI,7.6895,-5.0218,72.32,24,5,5.06,clear sky
238,Fort-Shevchenko,KZ,44.5086,50.263,26.74,46,1,16.75,clear sky
239,Xining,CN,36.6167,101.7667,8.92,81,100,2.64,overcast clouds
240,Pisco,PE,-13.7,-76.2167,69.85,83,0,5.75,clear sky
241,Katsuura,JP,35.1333,140.3,46.42,87,100,5.06,overcast clouds
242,Urengoy,RU,65.9667,78.3667,2.34,96,100,12.5,light snow
243,Alta,NO,69.9689,23.2717,16.86,82,100,2.3,overcast clouds
244,Nicoya,CR,10.1483,-85.452,72.68,72,94,13.53,overcast clouds
