city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Bousse,BF,2023-01-12 14:56:12,12.6606,-1.8922,304.19,12,100,3.95
119,Ahuimanu,US,2023-01-12 14:56:12,21.4447,-157.8378,292.69,80,7,0.45
120,Mosquera,CO,2023-01-12 14:56:12,4.7059,-74.2302,286.2,88,75,1.54
121,Ardakan,IR,2023-01-12 14:56:13,32.31,54.0175,275.55,43,0,2.99
122,Port Blair,IN,2023-01-12 14:56:14,11.6667,92.75,299.17,78,20,2.06
123,Uniao Dos Palmares,BR,2023-01-12 14:56:14,-9.1628,-36.0319,303.92,48,56,4.08
124,Champerico,GT,2023-01-12 14:56:14,14.3,-91.9167,297.45,70,2,1.4
125,Gazanjyk,TM,2023-01-12 14:56:15,39.2446,55.5154,266.39,61,0,12.03
126,Caucaia,BR,2023-01-12 14:56:16,-3.7361,-38.6531,304.12,73,40,7.2
127,Amahai,ID,2023-01-12 14:56:16,-3.3333,128.9167,299.16,82,100,1.67
128,Acajutla,SV,2023-01-12 14:56:17,13.5928,-89.8275,301.31,53,58,0.93
129,Conroe,US,2023-01-12 14:55:32,30.3119,-95.456,288.55,54,74,2.24
130,Salalah,OM,2023-01-12 14:55:29,17.0151,54.0924,297.42,54,14,1.05
131,El Tarra,CO,2023-01-12 14:57:18,8.5756,-73.0949,297.52,95,100,0.93
132,Nalut,LY,2023-01-12 14:57:19,30.3333,10.85,289.85,31,38,2.58
133,Bukachacha,RU,2023-01-12 14:57:19,52.9833,116.9167,248.7,82,0,2.28
134,Rayong,TH,2023-01-12 14:57:19,12.8333,101.4333,299.72,89,40,1.64
135,Cuervos,MX,2023-01-12 14:57:20,32.6314,-114.8556,284.84,41,74,3.15
136,Havre-Saint-Pierre,CA,2023-01-12 14:57:20,50.2334,-63.5986,261.15,66,100,2.57
137,Zabaykalsk,RU,2023-01-12 14:57:21,49.6333,117.3167,252.72,77,100,10.85
138,Hobart,AU,2023-01-12 14:56:37,-42.8794,147.3294,290.07,87,40,0.0
139,Kodiak,US,2023-01-12 14:57:22,57.79,-152.4072,273.84,87,100,1.29
140,Zima,RU,2023-01-12 14:56:21,53.9202,102.0442,240.09,100,54,1.49
141,Roebourne,AU,2023-01-12 14:57:22,-20.7833,117.1333,306.18,31,15,3.39
142,Butaritari,KI,2023-01-12 14:57:23,3.0707,172.7902,299.85,81,100,6.61
143,Ayan,RU,2023-01-12 14:57:23,56.45,138.1667,252.9,73,100,3.99
144,Mgandu,TZ,2023-01-12 14:57:23,-5.95,34.1333,292.43,87,75,2.41
145,Airai,TL,2023-01-12 14:57:24,-8.9266,125.4092,288.96,91,100,0.38
146,Malang,ID,2023-01-12 14:57:24,-7.9797,112.6304,294.37,94,91,1.23
147,Pacific Grove,US,2023-01-12 14:55:50,36.6177,-121.9166,284.88,91,100,1.79
148,Westport,US,2023-01-12 14:57:25,41.1415,-73.3579,280.42,88,100,3.13
149,Sakakah,SA,2023-01-12 14:57:25,29.9697,40.2064,288.91,57,0,3.97
150,Kavieng,PG,2023-01-12 14:57:26,-2.5744,150.7967,300.01,80,95,2.48
151,Beloha,MG,2023-01-12 14:57:26,-25.1667,45.05,299.67,73,39,6.94
152,Bethel,US,2023-01-12 14:57:26,41.3712,-73.414,276.49,85,100,1.54
153,Baruun-Urt,MN,2023-01-12 14:57:27,46.6806,113.2792,255.12,71,100,7.31
154,Coquimbo,CL,2023-01-12 14:57:27,-29.9533,-71.3436,292.0,82,100,4.12
155,Codajas,BR,2023-01-12 14:57:28,-3.8367,-62.0569,304.62,56,33,2.06
156,Cap Malheureux,MU,2023-01-12 14:57:28,-19.9842,57.6142,298.97,69,49,1.79
157,Udachnyy,RU,2023-01-12 14:57:29,66.4167,112.4,235.0,97,100,3.25
158,Gisborne,NZ,2023-01-12 14:57:29,-38.6533,178.0042,287.87,84,100,3.54
159,Conde,BR,2023-01-12 14:57:29,-7.2597,-34.9075,302.85,54,75,5.14
160,Haines Junction,CA,2023-01-12 14:57:30,60.7522,-137.5108,266.44,96,100,0.4
161,Chernyshevskiy,RU,2023-01-12 14:57:30,63.0128,112.4714,233.14,95,100,3.29
162,Nikolskoye,RU,2023-01-12 14:57:31,59.7035,30.7861,270.09,92,100,5.16
163,Tula,RU,2023-01-12 14:57:31,54.2044,37.6111,265.07,89,98,5.58
