city_id,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
194,Saint-Denis,FR,45.37,48.9167,2.3333,light rain,Hôtel de France
195,Safaga,EG,60.71,26.7292,33.9365,broken clouds,Dolphin Hotel
199,Ca Mau,VN,81.59,9.1769,105.15,scattered clouds,Khách sạn Song Ngọc
200,Vitry-Le-Francois,FR,43.21,48.7333,4.5833,overcast clouds,Hôtel Tambourin
209,Quang Ngai,VN,73.58,15.1167,108.8,broken clouds,Ngoc Anh
210,Surt,LY,61.29,31.2089,16.5887,broken clouds,فندق المدينة-سرت
212,San Pedro,PH,78.26,14.35,121.0167,light rain,Hotel Takara
213,Trinidad,BO,73.29,-14.8333,-64.9,overcast clouds,Hotel Palace
215,Aden,YE,76.44,12.7794,45.0367,broken clouds,فندق قصر الجزيرة
218,Tuktoyaktuk,CA,-14.8,69.4541,-133.0374,overcast clouds,Hunter's B&B
220,Ucluelet,CA,48.09,48.9329,-125.5528,overcast clouds,Black Rock Oceanfront Resort
221,College,US,6.75,64.8569,-147.8028,broken clouds,BEST WESTERN PLUS Pioneer Park Inn
224,Santa Vitoria Do Palmar,BR,66.24,-33.5189,-53.3681,clear sky,Hotel Brasil
231,Buchanan,LR,77.56,5.8808,-10.0467,clear sky,Phillipmena's Guesthouse
232,Laguna,US,53.06,38.421,-121.4238,overcast clouds,Holiday Inn Express & Suites
234,Qaqortoq,GL,15.17,60.7167,-46.0333,broken clouds,Hotel Qaqortoq
235,Bauru,BR,85.14,-22.3147,-49.0606,clear sky,Fenícia
237,Bouake,CI,72.32,7.6895,-5.0218,clear sky,Hôtel Arc-En-Ciel
238,Fort-Shevchenko,KZ,26.74,44.5086,50.263,clear sky,Akku
239,Xining,CN,8.92,36.6167,101.7667,overcast clouds,Qinghai hotel
240,Pisco,PE,69.85,-13.7,-76.2167,clear sky,La Portada
241,Katsuura,JP,46.42,35.1333,140.3,overcast clouds,潮騒の宿
242,Urengoy,RU,2.34,65.9667,78.3667,light snow,Геолог
243,Alta,NO,16.86,69.9689,23.2717,overcast clouds,Scandic Alta
244,Nicoya,CR,72.68,10.1483,-85.452,overcast clouds,Hotel marianela
245,Puerto Carreno,CO,80.01,6.189,-67.4859,scattered clouds,Carreño Plaza
246,Novo Aripuana,BR,72.55,-5.1206,-60.3797,light rain,Hotel Novo Aripuanã
247,Hasaki,JP,45.0,35.7333,140.8333,light rain,大新旅館
248,Salalah,OM,69.89,17.0151,54.0924,few clouds,Muscat International Hotel
249,Sharanga,RU,5.14,57.1775,46.5396,scattered clouds,Отель Юронга
250,Conde,BR,76.46,-7.2597,-34.9075,few clouds,Paladino
253,Buta,CD,74.86,2.7858,24.73,overcast clouds,Hôtel Rubi
255,Okato,NZ,66.69,-39.2,173.8833,scattered clouds,Stony River Boutique Hotel
258,Ballina,AU,82.02,-28.8667,153.5667,scattered clouds,Ballina Beach Resort
259,Nouadhibou,MR,69.78,20.931,-17.0347,broken clouds,Hotel valencia
260,Constitucion,CL,56.84,-35.3333,-72.4167,few clouds,Hostal Alameda
264,Ngunguru,NZ,66.49,-35.6167,174.5,few clouds,Oceans Tutukaka
265,Kiruna,SE,16.72,67.8557,20.2251,snow,Scandic Ferrum
268,Necochea,AR,62.4,-38.5473,-58.7368,overcast clouds,Cabañas Río Quequén
269,Kahului,US,78.82,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
271,Shetpe,KZ,21.52,44.1667,52.1167,overcast clouds,Балумит
273,Tarauaca,BR,72.82,-8.1614,-70.7656,light rain,Hotel Estrela
274,Port Elizabeth,ZA,70.32,-33.918,25.5701,few clouds,Waterford Hotel
275,Pangnirtung,CA,-43.11,66.1451,-65.7125,broken clouds,Auyuittuq Lodge
276,Ancud,CL,51.55,-41.8697,-73.8203,broken clouds,Cabañas
277,Rafaela,AR,82.98,-31.2503,-61.4867,few clouds,Toscano
278,Irbil,IQ,39.02,36.1926,44.0106,scattered clouds,Zakon Hotel
279,Komsomolskiy,UZ,9.32,40.4272,71.7189,mist,"Hotel ""Ikat House"""
280,Requena,ES,41.52,39.4883,-1.1004,scattered clouds,Hotel Avenida
281,Victoria,HK,56.25,22.2855,114.1577,overcast clouds,四季酒店 Four Seasons Hotel
283,Floro,NO,39.16,61.5996,5.0328,scattered clouds,Comfort Hotel Victoria Florø
285,Iskele,TR,41.09,39.484,26.9278,clear sky,The Marina Hotel
287,Bairiki,KI,86.0,1.3292,172.9752,few clouds,Marry's Motel
292,Pokaran,IN,46.69,26.9167,71.9167,clear sky,Pokaran Desert Resort
293,Colon,PA,77.45,9.3592,-79.9014,light rain,Hotel Carlton
